id,question,answer,explanation,category,tags,source,note
TF-L-001,消防法上の危険物について、「消防法上の危険物とは、火災時に煙を出す物質をいう。」は正しい。,×,誤り。煙を出すかどうかは消防法上の危険物の定義ではない、消防法上の危険物は、消防法別表第一の品名欄に掲げる物品で、同表の区分に応じた性状を有するものをいう、すべての可燃物や液体可燃物が危険物になるわけではない。,法令・制度,TF-L-001;L-001;LAW-001;危険物の定義;消防法上の危険物の定義;基礎,消防法 別表第一（https://laws.e-gov.go.jp/law/323AC1000000186）,公開前確認待ち
TF-L-002,消防法上の危険物の類別と性質の組合せについて、「第3類 — 自然発火性物質及び禁水性物質」は正しい。,○,正しい。第3類は自然発火性物質及び禁水性物質、第4類は引火性液体である。,法令・制度,TF-L-002;L-006;LAW-002;危険物の分類;第1類〜第6類の分類概要;基礎,消防試験研究センター 危険物取扱者試験案内（https://www.shoubo-shiken.or.jp/kikenbutsu/）,公開前確認待ち
TF-L-003,乙種第4類で主に対象となる危険物について、「引火性液体」は正しい。,○,正しい。乙種第4類は第4類危険物を対象とし、第4類危険物は引火性液体である。,法令・制度,TF-L-003;L-002;LAW-003;第4類危険物;第4類危険物の位置づけ;基礎,消防試験研究センター 乙種第4類の説明（https://www.shoubo-shiken.or.jp/kikenbutsu/）,公開前確認待ち
TF-L-004,指定数量の説明について、「危険物の危険性を判断する基準として、政令で定められる数量である。」は正しい。,○,正しい。指定数量は、危険物の危険性に応じて政令で定められる基準数量である。,法令・制度,TF-L-004;L-003;LAW-004;指定数量;指定数量の意味;基礎,危険物の規制に関する政令 別表第三（https://laws.e-gov.go.jp/law/334CO0000000306）,公開前確認待ち
TF-L-005,「指定数量に関する説明として、誤っているものはどれか。」という問いに対して、「指定数量は、危険物の危険性に応じて定められる。」を選ぶのは正しい。,×,正しい。指定数量は、危険物取扱者が1日に取り扱える上限量ではない、危険物の危険性に応じて政令で定められる数量である。,法令・制度,TF-L-005;L-086;LAW-004;指定数量;指定数量の意味;基礎,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-006,指定数量の説明として最も適切なものについて、「危険物の危険性に応じて定められる基準数量である。」は正しい。,○,正しい。指定数量は、危険物の危険性に応じて定められる基準数量である。,法令・制度,TF-L-006;L-171;LAW-004;指定数量;指定数量の意味;基礎,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-007,指定数量倍数の考え方について、「消火器本数を受験者数で割って求める。」は正しい。,×,誤り。消火器本数や受験者数は関係ない、指定数量倍数は、危険物の数量をその危険物の指定数量で割って求める。,法令・制度,TF-L-007;L-211;LAW-004;指定数量;指定数量の意味;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-008,法令上、ガソリンの指定数量について、「200 L」は正しい。,○,正しい。ガソリンは第1石油類の非水溶性液体に該当し、指定数量は200 Lである。,法令・制度,TF-L-008;L-007;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三（https://laws.e-gov.go.jp/law/334CO0000000306）,公開前確認待ち
TF-L-009,特殊引火物の指定数量について、「50 L」は正しい。,○,正しい。特殊引火物の指定数量は50 Lで、第4類危険物の指定数量は品名・性質によって異なる。,法令・制度,TF-L-009;L-046;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-010,"アルコール類の指定数量について、「10,000 L」は正しい。",×,"誤り。10,000 Lは動植物油類の指定数量で、アルコール類の指定数量は400 Lである、メタノールやエタノールはアルコール類として整理する。",法令・制度,TF-L-010;L-047;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
TF-L-011,灯油の指定数量について、「50 L」は正しい。,×,"誤り。50 Lは特殊引火物の指定数量で、灯油は第2石油類の非水溶性液体であり、指定数量は1,000 Lである。",法令・制度,TF-L-011;L-048;LAW-005;指定数量;第4類危険物の指定数量;標準,危険物の規制に関する政令 別表第三,公開前確認待ち
