"id","source_file","question_number","page","section","question_text","choice_1","choice_2","choice_3","choice_4","choice_5","answer","answer_text","needs_review"
"otsu4-sample-01","kikenbutsu_otsu4.pdf","1","1","危険物に関する法令","法別表第１に掲げる第４類の危険物の品名に該当しない
ものは、次のうちどれか。","特殊引火物","第１石油類","アルコール類","アルキルアルミニウム","第４石油類","4","アルキルアルミニウム","False"
"otsu4-sample-02","kikenbutsu_otsu4.pdf","2","2","危険物に関する法令","法令上、予防規程に関する説明として、最も適切なもの
は、次のうちどれか。","製造所等における危険物保安監督者及び危険物取扱者の責務を定
めた規程をいう。","製造所等の点検について定めた規程をいう。","製造所等の火災を予防するため、危険物の保安に関し必要な事項
を定めた規程をいう。","製造所等における危険物保安統括管理者の責務を定めた規程をい
う。","危険物の危険性をまとめた規程をいう。","3","製造所等の火災を予防するため、危険物の保安に関し必要な事項
を定めた規程をいう。","False"
"otsu4-sample-03","kikenbutsu_otsu4.pdf","3","2","危険物に関する法令","法令上、品名の異なる危険物Ａ、Ｂ、Ｃを同一場所で貯
蔵する場合の指定数量の倍数を求める計算式として、次のうち正
しいものはどれか。","（Aの貯蔵量＋Bの貯蔵量＋Cの貯蔵量）÷（Aの指定数量＋Bの指定数量＋Cの指定数量）","（Aの貯蔵量＋Bの貯蔵量＋Cの貯蔵量）÷（Aの指定数量×Bの指定数量×Cの指定数量）","Aの指定数量÷Aの貯蔵量＋Bの指定数量÷Bの貯蔵量＋Cの指定数量÷Cの貯蔵量","Aの貯蔵量÷Aの指定数量＋Bの貯蔵量÷Bの指定数量＋Cの貯蔵量÷Cの指定数量","Aの貯蔵量÷Aの指定数量×Bの貯蔵量÷Bの指定数量×Cの貯蔵量÷Cの指定数量","4","Aの貯蔵量÷Aの指定数量＋Bの貯蔵量÷Bの指定数量＋Cの貯蔵量÷Cの指定数量","False"
"otsu4-sample-04","kikenbutsu_otsu4.pdf","4","3","危険物に関する法令","法令上、学校、病院等の建築物等から一定の距離（保安
距離）を保たなければならない旨の規定が設けられている施設の
組合せで、次のうち正しいものはどれか。","製 造 所 屋外タンク貯蔵所","屋内タンク貯蔵所 地下タンク貯蔵所","地下タンク貯蔵所 給油取扱所","移動タンク貯蔵所 第２種販売取扱所","製 造 所 第１種販売取扱所","1","製 造 所 屋外タンク貯蔵所","False"
"otsu4-sample-05","kikenbutsu_otsu4.pdf","5","3","危険物に関する法令","法令上、第５種の消火設備のうち、すべての種類の危険
物の消火に適応するものは、次のうちどれか。","りん酸塩類等の粉末を使用する消火器","霧状の強化液を放射する消火器","泡を放射する消火器","膨張真珠岩","ハロゲン化物を放射する消火器","4","膨張真珠岩","False"
"otsu4-sample-06","kikenbutsu_otsu4.pdf","6","4","危険物に関する法令","法令上、製造所の位置、構造及び設備の基準について、
次のうち誤っているものはどれか。","危険物を取り扱う機械器具その他の設備は、危険物のもれ、あふ
れ又は飛散を防止する構造としなければならない。","危険物を加熱し、若しくは冷却する設備又は危険物の取扱により
温度の変化が起る設備には、温度測定装置を設けなければならない。","危険物を加熱し、又は乾燥する設備は、高温で、かつ、早期に乾
燥するため、すべて直火を用いて加熱する構造としなければならな
い。","危険物を加圧する設備又は危険物の圧力が上昇するおそれのある
設備には、圧力計及び規則で定める安全装置を設けなければならな
い。","危険物を取り扱うにあたって静電気が発生するおそれのある設備
には、静電気を有効に除去する装置を設けなければならない。","3","危険物を加熱し、又は乾燥する設備は、高温で、かつ、早期に乾
燥するため、すべて直火を用いて加熱する構造としなければならな
い。","False"
"otsu4-sample-07","kikenbutsu_otsu4.pdf","7","4","危険物に関する法令","法令上、製造所の設置等について、次のうち誤っているも
のはどれか。","製造所の保有空地を変更するときは、市町村長等の変更の許可が
必要である。","製造所を設置するときは、工事期間の中間で、完成検査時に目視
できない地下埋設配管の完成検査前検査を行った後でなければ、完
成検査は実施できない。","製造所の構造を変更するときは、市町村長等の変更の許可を受け
なければ、工事に着手できない。","設置工事が終了し、市町村長等から完成検査済証を交付された場
合は、製造所を使用できる。","市町村長等に変更の許可を申請する場合は、変更の内容に関する
図面その他規則で定める書類を添付しなければならない。","2","製造所を設置するときは、工事期間の中間で、完成検査時に目視
できない地下埋設配管の完成検査前検査を行った後でなければ、完
成検査は実施できない。","False"
"otsu4-sample-08","kikenbutsu_otsu4.pdf","8","5","危険物に関する法令","法令上、市町村長等が製造所等の使用停止を命ずること
ができる事由について、次のＡ～Ｄのうち、該当しないものすべ
てを掲げているものはどれか。
Ａ 予防規程を定めなければならない製造所等において、予防規
程を定めていないとき。
Ｂ 危険物保安監督者を定めなければならない製造所等において、
危険物保安監督者を定めていないとき。
Ｃ 自衛消防組織を置かなければならない製造所等において、自
衛消防組織を置いていないとき。
Ｄ 危険物施設保安員を定めなければならない製造所等において、
危険物施設保安員を定めていないとき。","Ａ、Ｃ","Ａ、Ｃ、Ｄ","Ａ、Ｄ","Ｂ、Ｃ、Ｄ","Ｃ、Ｄ","2","Ａ、Ｃ、Ｄ","False"
"otsu4-sample-09","kikenbutsu_otsu4.pdf","9","5","危険物に関する法令","法令に定める定期点検の点検記録に記載しなければならな
い事項として、規則に定められていないものは、次のうちどれか。","点検をした製造所等の名称","点検の方法及び結果","点検年月日","点検を行った危険物取扱者若しくは危険物施設保安員又は点検に
立ち会った危険物取扱者の氏名","点検を実施した日を市町村長等へ報告した年月日","5","点検を実施した日を市町村長等へ報告した年月日","False"
"otsu4-sample-10","kikenbutsu_otsu4.pdf","10","6","危険物に関する法令","法令上、免状の書換え又は再交付に係る申請先の都道府県知事（以下「知事」という。）について、正しいものの組合せは次のうちどれか。","書換えの申請：居住地を管轄する知事／再交付の申請：交付した知事又は居住地を管轄する知事","書換えの申請：交付した知事／再交付の申請：交付した知事又は居住地若しくは勤務地を管轄する知事","書換えの申請：居住地又は勤務地を管轄する知事／再交付の申請：交付した知事若しくは書換えをした知事又は居住地を管轄する知事","書換えの申請：交付した知事又は居住地若しくは勤務地を管轄する知事／再交付の申請：交付した知事又は書換えをした知事","書換えの申請：交付した知事又は居住地を管轄する知事／再交付の申請：居住地又は勤務地を管轄する知事","4","書換えの申請：交付した知事又は居住地若しくは勤務地を管轄する知事／再交付の申請：交付した知事又は書換えをした知事","False"
