exam_year,exam_wareki,question_no,type,category,tags,stem,preamble,statement_a,statement_b,statement_c,statement_d,choice_1,choice_2,choice_3,choice_4,choice_5,correct,is_exempt,is_invalidated,note,explanation,explanation_summary,explanation_correct,explanation_choices,explanation_point,related_links
2026,2026年,1,single,法令・制度,otsu4-sample-01;危険物に関する法令;kikenbutsu_otsu4.pdf;p1;過去問;乙4,法別表第１に掲げる第４類の危険物の品名に該当しないものは、次のうちどれか。,,,,,,特殊引火物,第１石油類,アルコール類,アルキルアルミニウム,第４石油類,4,FALSE,FALSE,,正解は選択肢（4）です。アルキルアルミニウムは危険物の類・品名において第3類（自然発火性・禁水性）に属し、第4類（引火性液体等）の品名には該当しません。したがって「第4類に該当しない」正答となります。 特殊引火物は第4類の品名に掲げられています。問題は第4類に含まれないものを選ぶため、この肢は誤りではありません。 第1石油類は第4類の代表例です。引火点の区分に応じて第1〜第4石油類として整理されます。 アルコール類も第4類の品名です。第4類の中でさらに品名区分されます。 第4石油類は名称のとおり第4類に属します。該当しないものを選ぶ本問の正答ではありません。,法別表第1の第4類品名のうち、類・品名の区分に含まれないものを選ぶ問題です。,アルキルアルミニウムは危険物の類・品名において第3類（自然発火性・禁水性）に属し、第4類（引火性液体等）の品名には該当しません。したがって「第4類に該当しない」正答となります。,1:特殊引火物は第4類の品名に掲げられています。問題は第4類に含まれないものを選ぶため、この肢は誤りではありません。;2:第1石油類は第4類の代表例です。引火点の区分に応じて第1〜第4石油類として整理されます。;3:アルコール類も第4類の品名です。第4類の中でさらに品名区分されます。;5:第4石油類は名称のとおり第4類に属します。該当しないものを選ぶ本問の正答ではありません。,法別表第1は「類」と「品名」の対応が頻出です。第3類と第4類の品名を表で並べ、該当・非該当を口頭で言えるようにしておきましょう。,field:法令・制度;terms:用語解説一覧
2026,2026年,2,single,法令・制度,otsu4-sample-02;危険物に関する法令;kikenbutsu_otsu4.pdf;p2;過去問;乙4,法令上、予防規程に関する説明として、最も適切なものは、次のうちどれか。,,,,,,製造所等における危険物保安監督者及び危険物取扱者の責務を定めた規程をいう。,製造所等の点検について定めた規程をいう。,製造所等の火災を予防するため、危険物の保安に関し必要な事項を定めた規程をいう。,製造所等における危険物保安統括管理者の責務を定めた規程をいう。,危険物の危険性をまとめた規程をいう。,3,FALSE,FALSE,,正解は選択肢（3）です。予防規程は、製造所等の火災を予防するため、危険物の保安に関し必要な事項を定めた規程をいいます。点検規程・責務規程・危険性の整理とは目的が異なります。 保安監督者・取扱者の責務を定めるのは関係法令上の義務規定であり、予防規程の定義そのものではありません。 点検について定めるのは点検規程の趣旨です。予防規程とは別の規程類型です。 保安統括管理者の責務規程でもなく、火災予防のための保安事項を定める規程ではありません。 危険性をまとめた資料・規程の説明であり、予防規程の法的定義には当たりません。,予防規程の定義を問う問題です。火災予防のための保安事項を定める規程かどうかが判断ポイントです。,予防規程は、製造所等の火災を予防するため、危険物の保安に関し必要な事項を定めた規程をいいます。点検規程・責務規程・危険性の整理とは目的が異なります。,1:保安監督者・取扱者の責務を定めるのは関係法令上の義務規定であり、予防規程の定義そのものではありません。;2:点検について定めるのは点検規程の趣旨です。予防規程とは別の規程類型です。;4:保安統括管理者の責務規程でもなく、火災予防のための保安事項を定める規程ではありません。;5:危険性をまとめた資料・規程の説明であり、予防規程の法的定義には当たりません。,「予防」「点検」「販売規程」など規程名の目的を1文で言えるように整理すると、似た選択肢を即座に除外できます。,field:法令・制度;terms:用語解説一覧
2026,2026年,3,single,法令・制度,otsu4-sample-03;危険物に関する法令;kikenbutsu_otsu4.pdf;p2;過去問;乙4,法令上、品名の異なる危険物Ａ、Ｂ、Ｃを同一場所で貯蔵する場合の指定数量の倍数を求める計算式として、次のうち正しいものはどれか。,,,,,,（Aの貯蔵量＋Bの貯蔵量＋Cの貯蔵量）÷（Aの指定数量＋Bの指定数量＋Cの指定数量）,（Aの貯蔵量＋Bの貯蔵量＋Cの貯蔵量）÷（Aの指定数量×Bの指定数量×Cの指定数量）,Aの指定数量÷Aの貯蔵量＋Bの指定数量÷Bの貯蔵量＋Cの指定数量÷Cの貯蔵量,Aの貯蔵量÷Aの指定数量＋Bの貯蔵量÷Bの指定数量＋Cの貯蔵量÷Cの指定数量,Aの貯蔵量÷Aの指定数量×Bの貯蔵量÷Bの指定数量×Cの貯蔵量÷Cの指定数量,4,FALSE,FALSE,,正解は選択肢（4）です。品名が異なる危険物を同一場所に貯蔵する場合、指定数量の倍数は「各危険物の貯蔵量÷その指定数量」を求め、それらを加算します（割合の和方式）。選択肢（4）がこの式です。 貯蔵量と指定数量をそれぞれ合計してから割る方式は誤りです。品名ごとに割合を求めて加算します。 指定数量を乗算する式は法令の考え方と異なります。倍数は加算で求めます。 指定数量÷貯蔵量は分子・分母が逆です。貯蔵量÷指定数量が基本です。 割合どうしを乗算する式は誤りです。同一場所でも加算が原則です。,異品名を同一場所に貯蔵するときの指定数量倍数（加算方式）の計算式を問う問題です。,品名が異なる危険物を同一場所に貯蔵する場合、指定数量の倍数は「各危険物の貯蔵量÷その指定数量」を求め、それらを加算します（割合の和方式）。選択肢（4）がこの式です。,1:貯蔵量と指定数量をそれぞれ合計してから割る方式は誤りです。品名ごとに割合を求めて加算します。;2:指定数量を乗算する式は法令の考え方と異なります。倍数は加算で求めます。;3:指定数量÷貯蔵量は分子・分母が逆です。貯蔵量÷指定数量が基本です。;5:割合どうしを乗算する式は誤りです。同一場所でも加算が原則です。,指定数量倍数は「貯蔵量÷指定数量」の和と覚え、合算・乗算・逆数の引っかけに注意してください。,field:法令・制度;terms:用語解説一覧
2026,2026年,4,single,法令・制度,otsu4-sample-04;危険物に関する法令;kikenbutsu_otsu4.pdf;p3;過去問;乙4,法令上、学校、病院等の建築物等から一定の距離（保安距離）を保たなければならない旨の規定が設けられている施設の組合せで、次のうち正しいものはどれか。,,,,,,製 造 所 屋外タンク貯蔵所,屋内タンク貯蔵所 地下タンク貯蔵所,地下タンク貯蔵所 給油取扱所,移動タンク貯蔵所 第２種販売取扱所,製 造 所 第１種販売取扱所,1,FALSE,FALSE,,正解は選択肢（1）です。製造所と屋外タンク貯蔵所の組合せが、保安距離を保つ規定の対象となる典型例です。屋内タンク・地下タンクのみの組合せや、販売取扱所のみでは本問の正答になりません。 屋内タンク貯蔵所と地下タンク貯蔵所の組合せは、本問が問う保安距離の組合せとして正しくありません。 地下タンク貯蔵所と給油取扱所の組合せも、正答の組合せではありません。 移動タンク貯蔵所と第2種販売取扱所の組合せは該当しません。 製造所と第1種販売取扱所のみでは、法令が想定する保安距離の組合せと一致しません。,学校・病院等との保安距離が必要な施設の組合せを問う問題です。,製造所と屋外タンク貯蔵所の組合せが、保安距離を保つ規定の対象となる典型例です。屋内タンク・地下タンクのみの組合せや、販売取扱所のみでは本問の正答になりません。,2:屋内タンク貯蔵所と地下タンク貯蔵所の組合せは、本問が問う保安距離の組合せとして正しくありません。;3:地下タンク貯蔵所と給油取扱所の組合せも、正答の組合せではありません。;4:移動タンク貯蔵所と第2種販売取扱所の組合せは該当しません。;5:製造所と第1種販売取扱所のみでは、法令が想定する保安距離の組合せと一致しません。,保安距離は施設の種類の組合せで出題されます。製造所・屋外タンク・販売所の違いを表にまとめておくとよいです。,field:法令・制度;terms:用語解説一覧
2026,2026年,5,single,法令・制度,otsu4-sample-05;危険物に関する法令;kikenbutsu_otsu4.pdf;p3;過去問;乙4,法令上、第５種の消火設備のうち、すべての種類の危険物の消火に適応するものは、次のうちどれか。,,,,,,りん酸塩類等の粉末を使用する消火器,霧状の強化液を放射する消火器,泡を放射する消火器,膨張真珠岩,ハロゲン化物を放射する消火器,4,FALSE,FALSE,,正解は選択肢（4）です。膨張真珠岩（粒状の不燃物）は、第5種消火設備として各類の危険物火災に広く用いられます。粉末・泡・ハロゲン化物などは適応範囲に制限がある場合があります。 りん酸塩類粉末は有効ですが、すべての危険物・火災形態に無条件で適応するわけではありません。 強化液（水溶液系）は主に第4類等の油火災向けで、全類に共通適応とは言い切れません。 泡消火も油火災向けが中心で、全種類の危険物に一律適応する設備ではありません。 ハロゲン化物は電気火災等に有効ですが、適応に制限があり「すべての種類」には当たりません。,第5種消火設備のうち、危険物の種類を問わず適応できるものを選ぶ問題です。,膨張真珠岩（粒状の不燃物）は、第5種消火設備として各類の危険物火災に広く用いられます。粉末・泡・ハロゲン化物などは適応範囲に制限がある場合があります。,1:りん酸塩類粉末は有効ですが、すべての危険物・火災形態に無条件で適応するわけではありません。;2:強化液（水溶液系）は主に第4類等の油火災向けで、全類に共通適応とは言い切れません。;3:泡消火も油火災向けが中心で、全種類の危険物に一律適応する設備ではありません。;5:ハロゲン化物は電気火災等に有効ですが、適応に制限があり「すべての種類」には当たりません。,消火設備は「第何種」「何に有効か」をセットで覚えます。第5種のうち汎用性が高いのは粒状不燃物です。,field:法令・制度;terms:用語解説一覧
2026,2026年,6,single,法令・制度,otsu4-sample-06;危険物に関する法令;kikenbutsu_otsu4.pdf;p4;過去問;乙4,法令上、製造所の位置、構造及び設備の基準について、次のうち誤っているものはどれか。,,,,,,危険物を取り扱う機械器具その他の設備は、危険物のもれ、あふれ又は飛散を防止する構造としなければならない。,危険物を加熱し、若しくは冷却する設備又は危険物の取扱により温度の変化が起る設備には、温度測定装置を設けなければならない。,危険物を加熱し、又は乾燥する設備は、高温で、かつ、早期に乾燥するため、すべて直火を用いて加熱する構造としなければならない。,危険物を加圧する設備又は危険物の圧力が上昇するおそれのある設備には、圧力計及び規則で定める安全装置を設けなければならない。,危険物を取り扱うにあたって静電気が発生するおそれのある設備には、静電気を有効に除去する装置を設けなければならない。,3,FALSE,FALSE,,正解は選択肢（3）です。加熱・乾燥設備を「すべて直火」でなければならないとする記述は誤りです。直火に限らず、法令・規則が定める安全な加熱方式が認められます。 機械器具等はもれ・あふれ・飛散を防ぐ構造とする、という記述は設備基準として正しく、誤肢ではありません。 加熱・冷却設備や温度変化が起きる設備に温度測定装置を設ける、という義務規定は正しい内容です。 加圧設備や圧力上昇のおそれがある設備に圧力計と安全装置を設ける、という記述も基準どおりです。 静電気が発生しやすい設備に除去装置を設ける、という記述も正しく、本問の正答（直火の絶対化）ではありません。,製造所の位置・構造・設備基準のうち、誤った記述を選ぶ問題です。,加熱・乾燥設備を「すべて直火」でなければならないとする記述は誤りです。直火に限らず、法令・規則が定める安全な加熱方式が認められます。,1:機械器具等はもれ・あふれ・飛散を防ぐ構造とする、という記述は設備基準として正しく、誤肢ではありません。;2:加熱・冷却設備や温度変化が起きる設備に温度測定装置を設ける、という義務規定は正しい内容です。;4:加圧設備や圧力上昇のおそれがある設備に圧力計と安全装置を設ける、という記述も基準どおりです。;5:静電気が発生しやすい設備に除去装置を設ける、という記述も正しく、本問の正答（直火の絶対化）ではありません。,設備基準は「もれ防止」「計測・安全装置」「静電気対策」など正しい義務と、「すべて直火」のような言い過ぎが混ざります。直火の絶対化だけを誤りとして拾いましょう。,field:法令・制度;terms:用語解説一覧
2026,2026年,7,single,法令・制度,otsu4-sample-07;危険物に関する法令;kikenbutsu_otsu4.pdf;p4;過去問;乙4,法令上、製造所の設置等について、次のうち誤っているものはどれか。,,,,,,製造所の保有空地を変更するときは、市町村長等の変更の許可が必要である。,製造所を設置するときは、工事期間の中間で、完成検査時に目視できない地下埋設配管の完成検査前検査を行った後でなければ、完成検査は実施できない。,製造所の構造を変更するときは、市町村長等の変更の許可を受けなければ、工事に着手できない。,設置工事が終了し、市町村長等から完成検査済証を交付された場合は、製造所を使用できる。,市町村長等に変更の許可を申請する場合は、変更の内容に関する図面その他規則で定める書類を添付しなければならない。,2,FALSE,FALSE,,正解は選択肢（2）です。完成検査前検査は、完成検査の「中間」ではなく、完成検査の前に実施する検査です。「工事期間の中間でなければ完成検査できない」という記述は誤りです。 保有空地の変更には変更許可が必要、という手続の説明は正しく、完成検査前検査のタイミングの誤りではありません。 構造変更には許可を受けてから着手する、という流れも法令どおりの正しい記述です。 完成検査済証の交付後に使用できる、という説明も手続として妥当です。 変更許可申請に図面等を添付する、という記述も正しく、本問が問う誤り（完成検査前検査の時期）とは別です。,製造所の設置・変更・完成検査の手続に関する誤肢を選ぶ問題です。,完成検査前検査は、完成検査の「中間」ではなく、完成検査の前に実施する検査です。「工事期間の中間でなければ完成検査できない」という記述は誤りです。,1:保有空地の変更には変更許可が必要、という手続の説明は正しく、完成検査前検査のタイミングの誤りではありません。;3:構造変更には許可を受けてから着手する、という流れも法令どおりの正しい記述です。;4:完成検査済証の交付後に使用できる、という説明も手続として妥当です。;5:変更許可申請に図面等を添付する、という記述も正しく、本問が問う誤り（完成検査前検査の時期）とは別です。,完成検査前検査は「完成検査の前」に行う検査です。工事の中間時点でないと完成検査できない、という言い換えに注意し、許可・変更・使用開始の流れと区別して覚えましょう。,field:法令・制度;terms:用語解説一覧
2026,2026年,8,single,法令・制度,otsu4-sample-08;危険物に関する法令;kikenbutsu_otsu4.pdf;p5;過去問;乙4,法令上、市町村長等が製造所等の使用停止を命ずることができる事由について、次のＡ～Ｄのうち、該当しないものすべてを掲げているものはどれか。Ａ 予防規程を定めなければならない製造所等において、予防規程を定めていないとき。Ｂ 危険物保安監督者を定めなければならない製造所等において、危険物保安監督者を定めていないとき。Ｃ 自衛消防組織を置かなければならない製造所等において、自衛消防組織を置いていないとき。Ｄ 危険物施設保安員を定めなければならない製造所等において、危険物施設保安員を定めていないとき。,,,,,,Ａ、Ｃ,Ａ、Ｃ、Ｄ,Ａ、Ｄ,Ｂ、Ｃ、Ｄ,Ｃ、Ｄ,2,FALSE,FALSE,,正解は選択肢（2）です。正答はＡ・Ｃ・Ｄの組合せです。予防規程未策定、保安上著しく不良、検査不合格などは停止命令の事由になり得ますが、本問の組合せ設定ではＢのみが該当事由に当たるため、Ａ・Ｃ・Ｄが「該当しないものすべて」となります。 Ａ・Ｃのみでは、該当しない事由の拾い漏れがあります。Ｄも該当しない事由に含まれます。 Ａ・Ｄの組合せは、該当しない事由のセットとして不完全です。 Ｂ・Ｃ・Ｄは停止命令事由に該当する項目を含むため、「該当しないものすべて」ではありません。 Ｃ・Ｄのみでは、該当しないＡが抜けています。,使用停止命令の事由のうち、該当しないもの（Ａ〜Ｄ）の組合せを選ぶ問題です。,正答はＡ・Ｃ・Ｄの組合せです。予防規程未策定、保安上著しく不良、検査不合格などは停止命令の事由になり得ますが、本問の組合せ設定ではＢのみが該当事由に当たるため、Ａ・Ｃ・Ｄが「該当しないものすべて」となります。,1:Ａ・Ｃのみでは、該当しない事由の拾い漏れがあります。Ｄも該当しない事由に含まれます。;3:Ａ・Ｄの組合せは、該当しない事由のセットとして不完全です。;4:Ｂ・Ｃ・Ｄは停止命令事由に該当する項目を含むため、「該当しないものすべて」ではありません。;5:Ｃ・Ｄのみでは、該当しないＡが抜けています。,「該当しないものすべて」は集合問題です。各選択肢の記号をメモし、条文上の停止事由リストと照合してください。,field:法令・制度;terms:用語解説一覧
2026,2026年,9,single,法令・制度,otsu4-sample-09;危険物に関する法令;kikenbutsu_otsu4.pdf;p5;過去問;乙4,法令に定める定期点検の点検記録に記載しなければならない事項として、規則に定められていないものは、次のうちどれか。,,,,,,点検をした製造所等の名称,点検の方法及び結果,点検年月日,点検を行った危険物取扱者若しくは危険物施設保安員又は点検に立ち会った危険物取扱者の氏名,点検を実施した日を市町村長等へ報告した年月日,5,FALSE,FALSE,,正解は選択肢（5）です。点検記録に「市町村長等へ報告した年月日」を記載する旨は規則に定められていません。名称・方法・結果・年月日・点検者氏名などは記載事項として定められています。 点検した製造所等の名称を記載する、ことは規則で定められた記載事項であり、正答ではありません。 点検の方法及び結果を記載する、ことも記録の必須項目です。 点検年月日を記載する、ことも定められています（報告日とは別です）。 点検を行った者又は立会者の氏名を記載する、ことも記載事項に含まれます。,定期点検記録の記載事項のうち、規則にないものを選ぶ問題です。,点検記録に「市町村長等へ報告した年月日」を記載する旨は規則に定められていません。名称・方法・結果・年月日・点検者氏名などは記載事項として定められています。,1:点検した製造所等の名称を記載する、ことは規則で定められた記載事項であり、正答ではありません。;2:点検の方法及び結果を記載する、ことも記録の必須項目です。;3:点検年月日を記載する、ことも定められています（報告日とは別です）。;4:点検を行った者又は立会者の氏名を記載する、ことも記載事項に含まれます。,点検記録は「いつ・どこを・誰が・どう点検したか」が中心です。点検年月日は要、市町村長への報告年月日は不要、と切り分けて覚えましょう。,field:法令・制度;terms:用語解説一覧
2026,2026年,10,single,法令・制度,otsu4-sample-10;危険物に関する法令;kikenbutsu_otsu4.pdf;p6;過去問;乙4,法令上、免状の書換え又は再交付に係る申請先の都道府県知事（以下「知事」という。）について、正しいものの組合せは次のうちどれか。,,,,,,書換えの申請：居住地を管轄する知事／再交付の申請：交付した知事又は居住地を管轄する知事,書換えの申請：交付した知事／再交付の申請：交付した知事又は居住地若しくは勤務地を管轄する知事,書換えの申請：居住地又は勤務地を管轄する知事／再交付の申請：交付した知事若しくは書換えをした知事又は居住地を管轄する知事,書換えの申請：交付した知事又は居住地若しくは勤務地を管轄する知事／再交付の申請：交付した知事又は書換えをした知事,書換えの申請：交付した知事又は居住地を管轄する知事／再交付の申請：居住地又は勤務地を管轄する知事,4,FALSE,FALSE,,正解は選択肢（4）です。書換えは交付知事又は居住地・勤務地を管轄する知事、再交付は交付知事又は書換えをした知事が申請先です。選択肢（4）の組合せが法令の整理と一致します。 書換えを居住地管轄のみとする組合せは、勤務地管轄や交付知事の選択肢を欠いています。 再交付の申請先の整理が法令と一致しません。 書換え・再交付の組合せが重複・不足しており誤りです。 居住地のみを再交付の申請先とする点が誤っています。,免状の書換え・再交付の申請先（知事）の組合せを問う問題です。,書換えは交付知事又は居住地・勤務地を管轄する知事、再交付は交付知事又は書換えをした知事が申請先です。選択肢（4）の組合せが法令の整理と一致します。,1:書換えを居住地管轄のみとする組合せは、勤務地管轄や交付知事の選択肢を欠いています。;2:再交付の申請先の整理が法令と一致しません。;3:書換え・再交付の組合せが重複・不足しており誤りです。;5:居住地のみを再交付の申請先とする点が誤っています。,免状手続は「交付・書換え・再交付」で申請先が変わります。表にまとめ、勤務地管轄の有無を確認してください。,field:法令・制度;terms:用語解説一覧
