slug,genre,title,content_status,portfolio_block,intent_type,seo_tier,seo_score,auto_decision,merge_target,primary_keyword_hint,rationale,in_keep_core,field_id,field_match,is_custom_slug,expert_pass,slug_cluster,manual_decision,notes
application-deadline-checklist,受験・申込,危険物乙4 申込締切前チェックリスト【7日前·3日前】,published,A制度,do,A,70,keep,,危険物乙4 申込締切前チェックリスト【7日前·3日前】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-application-flow,受験・申込,"危険物乙4の申込手順【要項正本・5,300円・受験票確認】",published,A制度,do,A,70,keep,,"危険物乙4の申込手順【要項正本・5,300円・受験票確認】",KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-eligibility,受験・申込,危険物乙4の受験資格【要項正本・18歳・該当ルート確認】,published,A制度,do,A,70,keep,,危険物乙4の受験資格【要項正本・18歳・該当ルート確認】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-fees,受験・申込,"危険物乙4の受験手数料【5,300円・納付・不受理防止】",published,A制度,do,A,70,keep,,"危険物乙4の受験手数料【5,300円・納付・不受理防止】",KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-schedule,受験・申込,危険物乙4 試験日・試験日程【支部別・CBT・申込締切】,published,A制度,do,A,70,keep,,危険物乙4 試験日・試験日程【支部別・CBT・申込締切】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-venue-and-region,受験・申込,危険物乙4 会場・受験地の確認【受験票・統一試験/CBT】,published,A制度,do,A,70,keep,,危険物乙4 会場・受験地の確認【受験票・統一試験/CBT】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-overview,試験概要,"危険物取扱者試験（乙4）の概要【50問·三領域·5,300円】",published,A制度,do,C,58,keep,,"危険物取扱者試験（乙4）の概要【50問·三領域·5,300円】",KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
official-info-sources,試験概要,危険物乙4の公式情報の確認先【要項正本・日程・35/50】,published,A制度,do,C,58,keep,,危険物乙4の公式情報の確認先【要項正本・日程・35/50】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
pass-announcement-guide,注意点・更新,危険物取扱者試験（乙4）合格発表の見方【10/15·35/50】,published,A制度,do,C,58,keep,,危険物取扱者試験（乙4）合格発表の見方【10/15·35/50】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
registration-after-pass,注意点・更新,危険物取扱者試験（乙4）免状交付·登録【11/30·写真】,published,A制度,do,C,58,keep,,危険物取扱者試験（乙4）免状交付·登録【11/30·写真】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
work-experience-requirement,受験・申込,危険物乙4の実務経験【要項正本・期間算定・勤務証明】,published,A制度,do,A,9,merge,exam-eligibility,危険物乙4の実務経験【要項正本・期間算定・勤務証明】,クラスター統合（テンプレ定義）,no,,n/a,no,no,other,,
exam-format-overview,出題・形式,危険物乙4 CBT・統一試験の違い【試験時間・マークシート・持ち物】,published,B形式,do,C,52,keep,,危険物乙4 CBT・統一試験の違い【試験時間・マークシート・持ち物】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-scope-overview,出題・形式,危険物取扱者試験（乙4）の出題範囲【三領域·学習地図】,published,B形式,do,C,52,keep,,危険物取扱者試験（乙4）の出題範囲【三領域·学習地図】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
subject-breakdown,出題・形式,危険物取扱者試験（乙4）の出題科目【17+17+16·週次配分】,published,B形式,do,C,52,keep,,危険物取扱者試験（乙4）の出題科目【17+17+16·週次配分】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
syllabus-how-to-read,出題・形式,危険物乙4の出題範囲表の読み方【要項・三領域・法改正】,published,B形式,do,C,52,keep,,危険物乙4の出題範囲表の読み方【要項・三領域・法改正】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
time-limit-strategy,出題・形式,危険物取扱者試験（乙4）の時間配分【50問60分·72秒】,published,B形式,do,C,52,keep,,危険物取扱者試験（乙4）の時間配分【50問60分·72秒】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
weight-by-topic,出題・形式,危険物乙4の分野別出題比重【演習データから時間配分】,published,B形式,do,C,7,merge,subject-breakdown,危険物乙4の分野別出題比重【演習データから時間配分】,クラスター統合（テンプレ定義）,no,,n/a,no,no,other,,
written-essay-section,出題・形式,危険物取扱者試験（乙4）に記述はあるか【50問·四肢択一のみ】,published,B形式,do,C,5,retire,,危険物取扱者試験（乙4）に記述はあるか【50問·四肢択一のみ】,試験形式に該当しない slug（CBT/論述等）,no,,n/a,no,no,other,,
pass-rate,合格・難易度,危険物乙4の合格率の見方【公表統計をどう使うか】,published,C難易度,do,A,68,keep,,危険物乙4の合格率の見方【公表統計をどう使うか】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
pass-score,合格・難易度,危険物乙4の合格点【35/50·足切り·要項の読み方】,published,C難易度,do,A,68,keep,,危険物乙4の合格点【35/50·足切り·要項の読み方】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
exam-difficulty,合格・難易度,危険物乙4の難易度は高い？【50問の結果で見る判断軸】,published,C難易度,do,A,38,keep,,危険物乙4の難易度は高い？【50問の結果で見る判断軸】,スコアリングで残否を判定（スコア上位で keep 候補）,no,,n/a,no,no,other,,
study-plan,学習計画,危険物取扱者試験（乙4）の学習計画の立て方【12週逆算】,published,D学習,do,B,60,keep,,危険物取扱者試験（乙4）の学習計画の立て方【12週逆算】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
textbook-selection,独学対策,危険物取扱者試験（乙4）の参考書の選び方【1冊完走】,published,D学習,do,B,60,keep,,危険物取扱者試験（乙4）の参考書の選び方【1冊完走】,KEEP_CORE（SEOハブ・必須）,yes,,n/a,no,no,other,,
plateau-breakthrough,復習・苦手克服,危険物取扱者試験（乙4）学習の伸び悩み対策【同20問再テスト】,published,D学習,do,C,8,merge,study-plan,危険物取扱者試験（乙4）学習の伸び悩み対策【同20問再テスト】,クラスター統合（テンプレ定義）,no,,n/a,no,no,other,,
self-study-environment,独学対策,危険物取扱者試験（乙4）独学の環境づくり【60分ブロック】,published,D学習,do,B,8,merge,study-plan,危険物取扱者試験（乙4）独学の環境づくり【60分ブロック】,クラスター統合（テンプレ定義）,no,,n/a,no,no,other,,
